,city,state,winscore,losscore,loser,winner,locale,TSU score,opponent score,scorediff,scorediff_abs,winloss,date,attendance,TSUrushyards,TSUreceiveyards,TSUkreturnyards,TSUpreturnyards,TSUtackles,TSUtackleyd,TSUsacks,TSUsackyd,TSUpunt,opponent,gametype,year
148,Nashville,TN,44,0,University of Arkansas Pine Bluff,Tennessee State University,Home,44,0,44,44,Win,2016-09-03,15078,202,259,29,64,52,39,5.0,31,3,University of Arkansas Pine Bluff,nonconference,2016
149,Memphis,TN,40,26,Jackson State University,Tennessee State University,Away,40,26,14,14,Win,2016-09-10,46263,121,273,96,11,61,40,3.0,21,6,Jackson State University,nonconference,2016
150,Daytona Beach,FL,31,24,Bethune Cookman University,Tennessee State University,Away,31,24,7,7,Win,2016-09-17,9385,210,184,122,23,52,17,1.0,1,5,Bethune Cookman University,nonconference,2016
151,Nashville,TN,34,30,University of Tennessee Martin,Tennessee State University,Home,34,30,4,4,Win,2016-10-01,10001,141,223,80,0,63,28,2.0,12,1,University of Tennessee Martin,conference,2016
152,Charleston,IL,35,34,Tennessee State University,Eastern Illinois University,Away,34,35,-1,1,Loss,2016-10-08,4319,76,303,113,0,75,6,1.0,3,5,Eastern Illinois University,conference,2016
153,Nashville,TN,35,28,Eastern Kentucky University,Tennessee State University,Home,35,28,7,7,Win,2016-10-15,21053,200,181,78,0,74,14,0.0,0,3,Eastern Kentucky University,conference,2016
154,Nashville,TN,35,17,Tennessee State University,Vanderbilt University,Home,17,35,-18,18,Loss,2016-10-22,31084,125,285,59,0,65,6,1.0,5,3,Vanderbilt University,nonconference,2016
155,Murray,KY,38,31,Tennessee State University,Murray State University,Away,31,38,-7,7,Loss,2016-10-29,8605,226,329,142,10,74,20,2.0,14,2,Murray State University,conference,2016
156,Clarksville,TN,41,40,Austin Peay State University,Tennessee State University,Away,41,40,1,1,Win,2016-11-05,6041,246,212,86,14,90,24,2.0,13,5,Austin Peay State University,conference,2016
157,Nashville,TN,44,16,Tennessee State University,Tennessee Tech University,Home,16,44,-28,28,Loss,2016-11-12,8981,93,202,93,17,53,2,1.0,0,3,Tennessee Tech University,conference,2016
158,Cape Girardeau,MO,32,31,Southeast Missouri State University,Tennessee State University,Away,32,31,1,1,Win,2016-11-19,3117,196,279,93,17,69,36,3.0,26,3,Southeast Missouri State University,conference,2016
159,Atlanta,GA,17,10,Georgia State University,Tennessee State University,Away,17,10,7,7,Win,2017-08-31,24333,238,145,44,0,59,26,3.0,17,5,Georgia State University,nonconference,2017
160,Memphis,TN,17,15,Jackson State University,Tennessee State University,Away,17,15,2,2,Win,2017-09-09,47407,160,78,49,41,76,21,4.0,18,6,Jackson State University,nonconference,2017
161,Tampa,FL,24,13,Florida A&M University,Tennessee State University,Away,24,13,11,11,Win,2017-09-17,17102,241,273,63,7,38,19,0.0,0,2,Florida A&M University,nonconference,2017
162,Martin,TN,31,16,Tennessee State University,University of Tennessee Martin,Away,16,31,-15,15,Loss,2017-09-23,6484,100,159,160,3,77,21,1.0,5,6,University of Tennessee Martin,conference,2017
163,Nashville,TN,19,16,Tennessee State University,Eastern Illinois University,Home,16,19,-3,3,Loss,2017-09-30,11013,83,195,48,0,73,14,0.0,0,6,Eastern Illinois University,conference,2017
164,Richmond,KY,45,21,Eastern Kentucky University,Tennessee State University,Away,45,21,24,24,Win,2017-10-07,8410,193,106,25,-3,60,8,1.0,1,5,Eastern Kentucky University,conference,2017
165,Nashville,TN,21,17,Tennessee State University,Austin Peay State University,Home,17,21,-4,4,Loss,2017-10-14,21127,106,208,64,13,61,11,1.0,0,4,Austin Peay State University,conference,2017
166,Cookeville,TN,30,26,Tennessee State University,Tennessee Tech University,Away,26,30,-4,4,Loss,2017-10-28,5235,83,331,135,-2,62,28,1.0,9,4,Tennessee Tech University,conference,2017
167,Nashville,TN,60,0,Virginia University Lynchburg,Tennessee State University,Home,60,0,60,60,Win,2017-11-04,7487,174,274,18,94,41,45,6.0,34,3,Virginia University Lynchburg,nonconference,2017
168,Nashville,TN,23,20,Southeast Missouri State University,Tennessee State University,Home,23,20,3,3,Win,2017-11-11,8693,147,196,103,29,57,14,1.0,5,4,Southeast Missouri State University,conference,2017
169,Jacksonville,AL,36,6,Tennessee State University,Jacksonville State University,Away,6,36,-30,30,Loss,2017-11-16,18782,15,82,140,1,71,18,1.0,9,11,Jacksonville State University,conference,2017
170,Nashville,TN,34,3,Bethune Cookman University,Tennessee State University,Home,34,3,31,31,Win,2018-09-01,14069,201,324,49,64,54,43,5.0,35,6,Bethune Cookman University,nonconference,2018
171,Charleston,IL,41,40,Eastern Illinois University,Tennessee State University,Away,41,40,1,1,Win,2018-09-22,7670,195,349,150,51,63,30,2.0,15,4,Eastern Illinois University,conference,2018
172,Nashville,TN,31,27,Tennessee State University,Vanderbilt University,Home,27,31,-4,4,Loss,2018-09-29,27340,104,269,105,3,69,5,0.0,0,4,Vanderbilt University,nonconference,2018
173,Clarksville,TN,49,34,Tennessee State University,Austin Peay State University,Away,34,49,-15,15,Loss,2018-10-06,12201,164,325,134,34,77,19,0.0,0,4,Austin Peay State University,conference,2018
174,Murray,KY,45,21,Tennessee State University,Murray State University,Away,21,45,-24,24,Loss,2018-10-13,3318,63,307,140,-1,74,19,1.0,7,5,Murray State University,conference,2018
175,Nashville,TN,41,14,Tennessee Tech University,Tennessee State University,Home,41,14,27,27,Win,2018-10-20,17283,149,323,48,14,77,28,4.0,21,4,Tennessee Tech University,conference,2018
176,Cape Girardeau,MO,38,21,Tennessee State University,Southeast Missouri State University,Away,21,38,-17,17,Loss,2018-11-03,3481,253,255,78,0,65,28,2.0,14,3,Southeast Missouri State University,conference,2018
177,Nashville,TN,41,14,Tennessee State University,Jacksonville State University,Home,14,41,-27,27,Loss,2018-11-10,6718,178,164,36,0,60,27,2.0,19,5,Jacksonville State University,conference,2018
178,Nashville,TN,31,28,University of Tennessee Martin,Tennessee State University,Home,31,28,3,3,Win,2018-11-17,3618,89,170,63,29,64,38,2.0,18,7,University of Tennessee Martin,conference,2018
179,Nashville,TN,26,20,Mississippi Valley State University,Tennessee State University,Home,26,20,6,6,Win,2019-08-31,13458,117,330,13,61,58,3,0.0,0,6,Mississippi Valley State University,nonconference,2019
180,Murfreesboro,TN,45,26,Tennessee State University,Middle Tennessee State University,Away,26,45,-19,19,Loss,2019-09-07,20912,207,259,108,0,49,13,1.0,7,5,Middle Tennessee State University,nonconference,2019
181,Memphis,TN,49,44,Tennessee State University,Jackson State University,Away,44,49,-5,5,Loss,2019-09-14,48347,141,389,155,0,55,19,1.0,8,3,Jackson State University,nonconference,2019
182,Nashville,TN,37,31,Tennessee State University,University of Arkansas Pine Bluff,Home,31,37,-6,6,Loss,2019-09-21,8683,71,334,74,15,65,13,1.0,3,6,University of Arkansas Pine Bluff,nonconference,2019
183,Richmond,KY,42,16,Tennessee State University,Eastern Kentucky University,Away,16,42,-26,26,Loss,2019-09-28,8861,112,270,38,7,74,11,1.0,5,5,Eastern Kentucky University,conference,2019
184,Jacksonville,AL,31,23,Tennessee State University,Jacksonville State University,Away,23,31,-8,8,Loss,2019-10-05,16589,230,240,56,0,75,13,1.0,7,3,Jacksonville State University,conference,2019
185,Nashville,TN,31,17,Tennessee State University,Murray State University,Home,17,31,-14,14,Loss,2019-10-12,5324,108,312,55,8,67,21,1.0,7,3,Murray State University,conference,2019
186,Nashville,TN,26,24,Austin Peay State University,Tennessee State University,Home,26,24,2,2,Win,2019-10-19,16389,116,220,66,0,60,11,1.0,0,6,Austin Peay State University,conference,2019
187,Nashville,TN,32,13,Tennessee State University,Southeast Missouri State University,Home,13,32,-19,19,Loss,2019-11-02,4738,83,217,113,13,62,17,2.0,8,4,Southeast Missouri State University,conference,2019
188,Nashville,TN,49,38,Tennessee State University,Eastern Illinois University,Home,38,49,-11,11,Loss,2019-11-09,4131,97,209,162,62,63,46,2.0,21,3,Eastern Illinois University,conference,2019
189,Martin,TN,28,17,Tennessee State University,University of Tennessee Martin,Away,17,28,-11,11,Loss,2019-11-16,1776,193,123,105,6,67,26,2.0,12,6,University of Tennessee Martin,conference,2019
190,Cookeville,TN,37,27,Tennessee Tech University,Tennessee State University,Away,37,27,10,10,Win,2019-11-23,2728,198,225,51,25,79,22,2.0,14,4,Tennessee Tech University,conference,2019
